	Gene	Chrom	Start-End	nSNPS	TopSNP P-Value	TopSNP Position	Negative Log	HumanGene
4545	Fryl	chr14	"37551108-37757511,37551108-37757511,37611005-37757511,37611005-37757511,37611005-37757511,37611005-37757511"	385	0.478027	37621361	0.320547573	FRYL
4546	Frzb	chr3	67635603-67668772	151	0.000146208	67670142	3.835028864	FRZB
4547	Fsbp	chr5	25167349-25173138	12	0.690519	25176788	0.160824367	FSBP
4548	Fscn1	chr12	13655458-13668595	38	0.0248441	13650446	1.604776731	FSCN1
4549	Fscn2	chr10	"109528306-109540675,109533486-109540026"	38	0.169204	109539468	0.771589374	FSCN2
4550	Fscn3	chr4	"55719975-55729442,55720021-55729442"	50	0.126412	55716037	0.898211698	FSCN3
4551	Fsd1	chr9	11076669-11080190	14	0.34829	11086080	0.458058995	FSD1
4552	Fsd1l	chr5	"70441074-70517131,70441075-70517131,70441075-70517131,70441075-70517131,70441075-70517131"	67	0.408795	70458056	0.388494425	FSD1L
4553	Fsd2	chr1	"143364866-143392532,143364866-143396564,143364866-143398123"	287	0.00059063	143375445	3.228684498	FSD2
4554	Fshb	chr3	98088320-98092131	53	0.200877	98079528	0.697069786	FSHB
4555	Fshr	chr6	12796382-12997817	521	0.151225	12883236	0.820376407	FSHR
4556	Fsip1	chr3	"109877942-110021186,109878467-110021186,109878467-110021186,109965029-110021184,109969150-110021149,109969150-110021184,109984282-110021183"	227	0.00470658	109996184	2.327294555	FSIP1
4557	Fsip2	chr3	70285180-70356568	24	0.0126295	70364330	1.898613843	FSIP2
4558	Fst	chr2	"46537588-46544452,46537588-46544813,46538744-46544813"	6	0.353502	46538985	0.451608125	FST
4559	Fstl1	chr11	"65791195-65845721,65792191-65845375"	209	0.000193118	65822097	3.714177245	FSTL1
4560	Fstl3	chr7	12806030-12810556	41	0.0706804	12804205	1.150701001	FSTL3
4561	Fstl4	chr10	"38104343-38532216,38104557-38532194"	803	0.193463	38265864	0.713402082	FSTL4
4562	Fstl5	chr2	"174542666-175234835,174542887-175234835,174580564-175234835,174792289-175234835"	318	0.177685	174612383	0.750349233	FSTL5
4563	Ftcd	chr20	12806956-12820466	161	0.000255124	12802566	3.593248685	FTCD
4564	Fth1	chr1	226030939-226033228	48	0.00197335	226032773	2.70479588	FTH1
4565	Ftmt	chr18	47294291-47295541	18	0.453975	47305375	0.342968063	FTMT
4566	Fto	chr19	16774548-17115098	438	0.570051	16785473	0.244086288	FTO
4567	Ftsj3	chr10	94439058-94445503	27	0.136045	94450648	0.866317415	FTSJ3
4568	Fubp1	chr2	"257425675-257452745,257425690-257452745,257425690-257452745,257425690-257452745,257425690-257452745,257425690-257452745,257425691-257452745,257425691-257452745,257425691-257452745,257425691-257452745,257425691-257452745,257425691-257452745,257425728-257448650"	39	0.496287	257416115	0.304267101	FUBP1
4569	Fubp3	chr3	"10220711-10269757,10222407-10269756,10222618-10269614,10222659-10269756,10222668-10269757"	18	0.222134	10266042	0.653384963	FUBP3
4570	Fuca1	chr5	154269295-154286545	69	0.084662	154259700	1.072311476	FUCA1
4571	Fuca2	chr1	7658918-7673663	103	0.0228192	7659862	1.641699585	FUCA2
4572	Fuk	chr19	"43338145-43357826,43338170-43357822"	11	0.01536	43357311	1.813608784	FUK
4573	Fundc2	chr18	"401877-406786,401885-407503,402023-406785,402294-407954,402476-406786"	3	0.108918	412888	0.962900342	FUNDC2
4574	Fuom	chr1	212563713-212568224	4	0.0422687	212554189	1.373981109	FUOM
4575	Furin	chr1	"142185091-142197296,142185091-142198167,142185093-142197182"	42	0.026761	142202671	1.572497662	FURIN
4576	Fus	chr1	"199412804-199426705,199412833-199426705"	27	0.104209	199434507	0.982094772	FUS
4577	Fut10	chr16	"64623245-64716248,64623253-64716248,64633031-64716247,64633031-64716248,64649609-64703908"	236	0.128343	64651119	0.891627813	FUT10
4578	Fut11	chr15	4031503-4035064	6	0.701837	4038532	0.15376374	FUT11
4579	Fut4	chr8	13258767-13262729	30	0.64501	13259773	0.190433552	FUT4
4580	Fut7	chr3	"2637280-2646497,2638380-2646497,2642461-2646497,2642461-2646497,2642610-2646497,2642610-2646497,2643615-2646488"	15	0.142072	2637615	0.847491506	FUT7
4581	Fut8	chr6	"100305956-100537208,100307905-100537208,100397052-100536537,100397167-100537208"	616	0.086256	100359666	1.064210686	FUT8
4582	Fut9	chr5	40032854-40237591	156	0.271195	40247419	0.566718322	FUT9
4583	Fuz	chr1	"100891831-100896589,100891832-100895457,100891832-100896422,100891832-100896508,100891832-100896589,100891832-100896590,100891865-100896811"	14	0.0207259	100883463	1.683486602	FUZ
4584	Fv1	chr1	"100220788-100226725,100220788-100226725,100220788-100226725,100220790-100226725,100220794-100226725,100220794-100226725,100220800-100226725,100220802-100226725,100220802-100226725,100220804-100226725,100220844-100226725,100220852-100226725,100220852-100226725,100220852-100226725,100220852-100226725,100220852-100226725,100220852-100226725"	6	0.0125331	100233504	1.901941495	
4585	Fxr1	chr2	120529715-120570356	50	0.194696	120559033	0.710642971	FXR1
4586	Fxr2	chr10	56237813-56257877	16	0.0539971	56233872	1.267629564	FXR2
4587	Fxyd2	chr8	"49710333-49717492,49710476-49716955,49713034-49717492,49713189-49716955"	43	0.830917	49710361	0.080442356	FXYD2
4588	Fxyd3	chr1	"89502560-89509343,89502560-89510146"	2	0.256887	89516996	0.590257873	FXYD3
4589	Fxyd4	chr4	"149984205-149988295,149984207-149988227,149984207-149988227,149984207-149988227,149984207-149988227,149984207-149988227,149984207-149988227,149984207-149988744,149984207-149988744,149984207-149988744,149984207-149988744"	20	0.0768157	149990639	1.114550007	FXYD4
4590	Fxyd6	chr8	"49676519-49703419,49676539-49703419"	62	0.606718	49682164	0.21701312	FXYD6
4591	Fyb	chr2	"55834903-55979539,55834904-55979539,55834904-55979539,55834905-55979539,55834905-55983805,55834905-55983805,55845715-55979539,55879653-55979539,55891541-55981400"	323	0.137644	55899204	0.861242715	
4592	Fyn	chr20	"44436353-44630316,44436679-44628887,44577311-44630316"	527	0.0825188	44460049	1.083447096	FYN
4593	Fzd1	chr4	26470863-26475262	46	0.759854	26473186	0.119269846	FZD1
4594	Fzd10	chr12	31757406-31760604	17	0.137728	31750094	0.860977759	FZD10
4595	Fzd2	chr10	90550146-90552057	7	0.0157822	90553423	1.801832457	FZD2
4596	Fzd3	chr15	48601258-48670257	8	0.0258179	48594120	1.588079086	FZD3
4597	Fzd4	chr1	153589470-153598376	12	0.428787	153601981	0.36775839	FZD4
4598	Fzd6	chr7	"77898328-77931034,77899321-77931029,77899467-77931034,77899561-77931034,77902599-77931034"	115	0.0304746	77912298	1.516061986	FZD6
4599	Fzd7	chr9	66059764-66153729	235	0.0562802	66124336	1.249644368	FZD7
4600	Fzd8	chr17	"62259909-62267239,62262128-62265114"	31	0.0562975	62266920	1.24951089	FZD8
4601	Fzd9	chr12	24473980-24476295	11	0.524495	24477343	0.280258648	FZD9
4602	Fzr1	chr7	11201689-11213614	12	0.306526	11208445	0.513532682	FZR1
4603	G0s2	chr13	112004139-112005052	49	0.39998	112013298	0.397961724	G0S2
4604	G2e3	chr6	"72092147-72123878,72092147-72123878,72092147-72123878,72092193-72122497,72095601-72123878,72095601-72123878"	81	0.0298287	72110140	1.525365674	G2E3
4605	G3bp2	chr14	"17437144-17523254,17492080-17520795,17492086-17523254,17492210-17523254,17493127-17523252"	203	0.0170974	17526179	1.767069928	G3BP2
4606	G4	chr20	5118005-5120332	109	0.0359957	5120294	1.443749376	C6orf47
4607	G6b	chr20	"5054418-5056649,5054418-5056651,5054654-5056474,5054659-5056653,5054666-5056655"	62	0.0165872	5047562	1.780226919	
4608	G6pc	chr10	89286008-89296213	35	0.0781477	89301423	1.107083799	G6PC
4609	G6pc2	chr3	55464527-55467170	65	0.0960662	55463442	1.017429388	G6PC2
4610	G6pc3	chr10	90134192-90138425	29	0.237266	90140715	0.624764491	G6PC3
4611	Gaa	chr10	"108395872-108412999,108395988-108412999"	116	0.125994	108391859	0.899650136	GAA
4612	Gab1	chr19	30794289-30903819	210	0.00300466	30874584	2.522204665	GAB1
4613	Gab2	chr1	"162082875-162283379,162083037-162279527"	64	0.287863	162283475	0.540814153	GAB2
4614	Gabarapl1	chr4	163293723-163302866	152	0.370931	163306769	0.43070687	GABARAPL1
4615	Gabarapl2	chr19	44164934-44175771	54	0.0146808	44159536	1.833250278	GABARAPL2
4616	Gabbr1	chr20	"1955343-1984802,1955351-1984907"	52	0.101021	1993690	0.995588337	GABBR1
4617	Gabbr2	chr5	62276099-62621737	983	0.000417194	62414904	3.379661946	GABBR2
4618	Gabpb1	chr3	"119091738-119122424,119091738-119122424,119091738-119124315,119091738-119134972,119091738-119135391,119092735-119122423"	74	0.50794	119098839	0.294187585	GABPB1
4619	Gabpb1l	chr17	"52938848-52941213,52938979-52940811"	16	0.583923	52939588	0.233644418	
4620	Gabra1	chr10	"27310717-27365666,27310717-27366004,27310717-27371802,27310717-27371802,27311263-27366241"	97	0.459836	27369035	0.337397031	GABRA1
4621	Gabra2	chr14	"39662410-39799626,39662440-39798928,39662851-39799626,39662851-39801082"	302	0.519795	39656318	0.284167902	GABRA2
4622	Gabra4	chr14	"39154071-39230994,39154540-39229131,39165317-39230994"	229	0.675578	39187853	0.170324502	GABRA4
4623	Gabra5	chr1	"112833940-112947385,112833940-112947385,112833940-112947446,112833940-112947482,112833988-112946731"	584	0.129162	112835319	0.888865239	GABRA5
4624	Gabra6	chr10	"27847446-27861305,27847446-27862896,27848257-27862506"	65	0.741936	27865622	0.129633556	GABRA6
4625	Gabrb1	chr14	"38631191-38941867,38643370-39112598"	26	0.851831	39119249	0.069646559	GABRB1
4626	Gabrb2	chr10	"27973693-28193072,27973695-28193072,27975352-28187368"	491	0.128013	28201414	0.892745925	GABRB2
4627	Gabrb3	chr1	113034250-113265364	343	0.180845	113076760	0.742693494	GABRB3
4628	Gabrd	chr5	172797477-172809374	44	0.0261905	172788305	1.58185621	GABRD
4629	Gabrg1	chr14	"39964501-40051306,39964587-40049354"	100	0.694139	39959336	0.158553554	GABRG1
4630	Gabrg2	chr10	"27090912-27179786,27093024-27179254"	232	0.496345	27161286	0.304216349	GABRG2
4631	Gabrg3	chr1	"112158524-112812267,112158529-112811954"	1226	0.0196644	112149179	1.7063193	GABRG3
4632	Gabrp	chr10	"18484256-18510448,18484256-18510604,18485513-18506337"	140	0.000772362	18510927	3.112179102	GABRP
4633	Gabrr3	chr11	"43046986-43099412,43047241-43099754"	147	0.117397	43071359	0.930343001	GABRR3
4634	Gad1	chr3	"56861439-56902139,56861859-56902139,56862138-56902139"	24	0.00191033	56898475	2.718891604	GAD1
4635	Gad2	chr17	89171575-89234770	148	0.0227975	89211258	1.642112776	GAD2
4636	Gadd45a	chr4	97782511-97784814	14	0.231976	97792341	0.634556944	GADD45A
4637	Gadd45b	chr7	"11646282-11648312,11646282-11648338"	11	0.92817	11648397	0.032372473	GADD45B
4638	Gadd45g	chr17	13391473-13393219	28	0.152411	13395660	0.816983687	GADD45G
4639	Gadd45gip1	chr19	25946978-25949528	2	0.0516423	25956326	1.286994424	GADD45GIP1
4640	Gadl1	chr8	123989821-124301366	499	0.111031	124227101	0.954555749	GADL1
4641	Gak	chr14	"2100103-2174327,2100103-2174327,2100105-2174318,2107560-2174332"	208	0.211681	2137098	0.674318122	GAK
4642	Gal	chr1	218653058-218657922	87	0.00356857	218667125	2.44750578	GAL
4643	Gal3st1	chr14	"84231472-84247371,84231638-84247357,84231741-84247371,84235637-84247371,84239736-84247371"	84	0.327914	84252973	0.484240041	GAL3ST1
4644	Gal3st2	chr9	100982995-100994226	89	0.0376261	100978570	1.424510795	GAL3ST2
4645	Gal3st3	chr1	220668543-220678300	21	0.000100328	220680034	3.998577845	GAL3ST3
4646	Galc	chr6	"122177194-122230817,122177194-122238228,122178795-122239411"	161	0.34653	122199768	0.460259161	GALC
4647	Gale	chr5	"154310452-154314957,154310502-154314959,154311992-154314959"	27	0.0108588	154317600	1.964218166	GALE
4648	Galk1	chr10	104560321-104564499	12	0.495049	104553639	0.305351812	GALK1
4649	Galk2	chr3	"118137096-118268838,118137181-118268838,118144542-118268838,118144595-118268838,118160075-118268838"	67	0.166452	118222065	0.778710982	GALK2
4650	Galm	chr6	2808987-2860742	143	0.00631606	2806819	2.199553753	GALM
4651	Galns	chr19	"55391003-55423328,55391912-55423052"	133	0.576544	55383470	0.239167543	GALNS
4652	Galnt1	chr18	"16141061-16187271,16146446-16185345"	24	0.593257	16169473	0.226757129	GALNT1
4653	Galnt10	chr10	43067315-43208992	442	0.0265279	43145164	1.576297128	GALNT10
4654	Galnt11	chr4	"6297254-6321369,6297254-6330765,6297254-6330765"	70	0.00235894	6293861	2.627283105	GALNT11
4655	Galnt12	chr5	62718732-62751345	92	0.00287304	62708752	2.541658327	GALNT12
4656	Galnt13	chr3	"39967055-40624056,39967055-40624056,39967055-40624056,39967055-40624056,39967055-40624056,39967055-40624056,39967057-40625144,39967058-40619683,39967059-40625144,39967745-40624056,40038335-40624536"	1786	0.19661	40461628	0.706394397	GALNT13
4657	Galnt14	chr6	"24770307-24877836,24770307-24965870,24770307-24977115,24770322-24985711"	742	0.00949288	24913190	2.022602009	GALNT14
4658	Galnt15	chr16	8127598-8178101	202	0.0161125	8174071	1.79283707	GALNT15
4659	Galnt16	chr6	"104069852-104250177,104071356-104250177"	517	0.0558133	104249266	1.253262299	GALNT16
4660	Galnt18	chr1	176296185-176607466	771	0.00305509	176601015	2.514975991	GALNT18
4661	Galnt2	chr19	"57043857-57115123,57064907-57115120"	198	0.016441	57061772	1.784071771	GALNT2
4662	Galnt3	chr3	"52174468-52212395,52175557-52199311"	40	0.558355	52182983	0.25308959	GALNT3
4663	Galnt4	chr7	"41305436-41309621,41305436-41309621,41305806-41308348"	9	0.788201	41311752	0.103363018	GALNT4
4664	Galnt6	chr7	"142322171-142348232,142323625-142360473,142323625-142361912,142323625-142361912,142323625-142361912,142323625-142364281"	28	0.0597002	142313858	1.224024214	GALNT6
4665	Galnt7	chr16	"35935058-36060454,35935068-36055308,35935068-36062734"	156	0.0265989	35965742	1.575136323	GALNT7
4666	Galnt9	chr12	"52106505-52124779,52106505-52169456,52106505-52187164,52106505-52187205"	234	0.108431	52134359	0.964846537	GALNT9
4667	Galntl5	chr4	"6333048-6450137,6333049-6449949"	188	0.0036207	6437613	2.441207458	GALNTL5
4668	Galntl6	chr16	"34551051-35803840,34553965-35802982"	1476	0.0183491	34873434	1.736385232	GALNTL6
4669	Galp	chr1	71352416-71374457	56	0.680105	71356494	0.167424032	GALP
4670	Galr1	chr18	79243008-79258570	137	0.298905	79233622	0.52446682	GALR1
4671	Galr3	chr7	"120271450-120276243,120273116-120275581,120273829-120276243"	41	0.0604284	120270254	1.218758905	GALR3
4672	Galt	chr5	"58144678-58147946,58144704-58147929,58144862-58147946,58145247-58147946,58145247-58147946"	31	0.605347	58142320	0.217995606	GALT
4673	Gamt	chr7	12314847-12317998	41	0.061841	12304928	1.208723496	GAMT
4674	Gan	chr19	"49692789-49746178,49695578-49741965"	104	0.00145424	49751430	2.837363914	GAN
4675	Ganab	chr1	"225096557-225116159,225096557-225116384,225096597-225116378"	43	0.00174828	225118211	2.757389011	GANAB
4676	Ganc	chr3	"112173906-112226023,112174965-112223993,112174965-112223993,112174965-112226886"	157	0.0627435	112223107	1.202431259	GANC
4677	Gap43	chr11	58624197-58717916	141	0.0267085	58691310	1.573350502	GAP43
4678	Gapdh	chr4	"157676335-157680322,157676395-157680271"	52	0.00975669	157678186	2.010697494	GAPDH
4679	Gapdh-ps1	chr3	44736646-44738545	38	0.389865	44728913	0.409085752	
4680	Gapdhs	chr1	"89180062-89194602,89180063-89190472,89180063-89195347"	45	0.00251228	89196364	2.599931959	GAPDHS
4681	Gapt	chr2	"41869554-41874129,41869554-41874130,41869555-41871858"	103	0.0490933	41865441	1.308977774	GAPT
4682	Gapvd1	chr3	"13751571-13825571,13751571-13825572,13751571-13825572,13751571-13825572,13751571-13825572,13751571-13825573,13751571-13825573"	70	0.129866	13793218	0.886504536	GAPVD1
4683	Garem1	chr18	14982603-15007245	61	0.0567651	14997066	1.245918593	GAREM1
4684	Garem2	chr6	27631363-27643076	12	0.273842	27621693	0.562499942	GAREM2
4685	Garnl3	chr3	12034130-12176591	237	0.448783	12039633	0.347963603	GARNL3
4686	Gars	chr4	85235121-85276085	115	0.00845411	85275948	2.072932106	GARS
4687	Gart	chr11	"31780476-31805629,31780476-31805728"	85	0.0317306	31810848	1.498521716	GART
4688	Gas1	chr17	4846115-4849350	13	0.265679	4844494	0.575642772	GAS1
4689	Gas2	chr1	"107234388-107363624,107234388-107363624,107234388-107363624,107262215-107363624,107262789-107363624,107263129-107363608"	224	0.578527	107263445	0.237676368	GAS2
4690	Gas2l1	chr14	"85308442-85318194,85313210-85318475,85314664-85318474"	22	0.0788097	85308897	1.103420326	GAS2L1
4691	Gas2l3	chr7	"29963128-29985818,29963128-29985818,29963128-29996021,29963128-29996021,29963128-29996021,29963128-29996021,29963128-29996021"	183	0.298645	29971963	0.524844752	GAS2L3
4692	Gas5	chr13	78852522-78855844	24	0.496938	78856589	0.303697792	GAS5
4693	Gas6	chr16	"81213363-81243757,81214829-81243824"	69	0.0189485	81219260	1.722425164	GAS6
4694	Gas7	chr10	"54010722-54240805,54125177-54240805,54140930-54240805,54149834-54240798,54149894-54240805,54156667-54240805"	637	0.0485345	54032464	1.31394944	GAS7
4695	Gas8	chr19	"56316366-56329174,56316443-56335870,56319075-56335873,56322218-56335873,56324034-56335873,56324034-56335873,56324039-56335873"	40	0.0196902	56333857	1.705749873	GAS8
4696	Gast	chr10	"88245531-88248484,88247937-88248485"	54	0.124503	88251379	0.904820184	GAST
4697	Gata3	chr17	"72419751-72452043,72427167-72452043,72429631-72452043,72430003-72452043,72430003-72452043,72430816-72450140"	105	0.233998	72410724	0.630787855	GATA3
4698	Gata4	chr15	"46386702-46433144,46386702-46458679,46386703-46433261,46386704-46432914"	89	0.0288773	46388850	1.539443415	GATA4
4699	Gata5	chr3	175701277-175709465	67	0.00606283	175696198	2.217324609	GATA5
4700	Gata6	chr18	2415820-2447087	55	0.0679477	2451811	1.167825239	GATA6
4701	Gatad2a	chr16	"21177792-21267768,21177837-21267076,21198466-21267076,21198466-21267076,21198477-21267076,21224226-21267076,21224226-21267076,21224227-21267076,21224227-21267076,21224227-21267076"	148	0.0839131	21232861	1.076170234	GATAD2A
4702	Gatad2b	chr2	"189654870-189735056,189654870-189735056,189655701-189732560"	17	0.159226	189744454	0.797986015	GATAD2B
4703	Gatb	chr2	184600694-184679980	20	0.736847	184591919	0.13262268	GATB
4704	Gatc	chr12	"47031544-47037762,47031585-47039556"	11	0.836722	47049156	0.077418812	GATC
4705	Gatm	chr3	114711569-114728155	154	0.0328472	114714952	1.483501645	GATM
4706	Gatsl2	chr12	25595799-25638806	78	0.163427	25600328	0.786676191	
4707	Gatsl3	chr14	"84447551-84457396,84447551-84457396,84447920-84452334"	37	0.15741	84454258	0.802967681	
4708	Gba	chr2	"188511780-188522602,188515774-188522602,188516581-188522602"	19	0.549004	188521511	0.260424491	GBA
4709	Gba2	chr5	59068080-59079719	25	0.819572	59081761	0.086412887	GBA2
4710	Gba3	chr14	"64390792-64535211,64391186-64476796,64391550-64535212,64471084-64535213"	197	0.406861	64515310	0.390553938	GBA3
4711	Gbas	chr12	"30527539-30566015,30533183-30566083,30533183-30566084,30538219-30566090"	208	0.520373	30561406	0.283685245	
4712	Gbe1	chr11	7210168-7485895	11	0.14169	7385252	0.8486608	GBE1
4713	Gbf1	chr1	"265904615-266033100,265904615-266033100,265904615-266033100,265904615-266033100,265904633-266033100,265904633-266033100,265904686-266033107"	71	0.307909	265947665	0.511577617	GBF1
4714	Gbgt1	chr3	"5109879-5126901,5111251-5127376"	290	0.245626	5121891	0.609725664	GBGT1
4715	Gbx1	chr4	7173960-7200752	94	0.00600377	7207393	2.221575954	GBX1
4716	Gbx2	chr9	97063264-97065855	13	0.521723	97071548	0.282560017	GBX2
4717	Gc	chr14	20267022-20302577	169	0.00232144	20268916	2.634242537	GC
4718	Gca	chr3	"48625964-48661300,48626037-48661317"	74	0.0141507	48626919	1.849222076	GCA
4719	Gcat	chr7	120263067-120269365	34	0.0604284	120270254	1.218758905	GCAT
4720	Gcc1	chr4	"55708039-55715654,55708039-55719883,55708039-55719884"	71	0.00399556	55707040	2.398422343	GCC1
4721	Gcc2	chr20	"27832959-27879763,27832992-27879764"	65	0.180947	27860808	0.742448613	GCC2
4722	Gcfc2	chr4	"112662555-112700145,112662555-112700505,112662608-112699711"	246	0.00131532	112666201	2.880968576	GCFC2
4723	Gcg	chr3	48442634-48451650	83	0.0328412	48441028	1.483580982	GCG
4724	Gcgr	chr10	"109707862-109716253,109707961-109716129,109707961-109716129,109708718-109716129,109708754-109716129,109711343-109716253,109711346-109716253"	40	0.197362	109722824	0.704736463	GCGR
